,file,sampling point,stiffness,strength,yaw,x_offset,cup_a,cup_b,cup_c,cups engaged,result,cup engagement
27,2023083_proxy_sample_3_yaw_-15_offset_0.01_rep_0_stiff_high_force_medium.json,3,3_high_stiffness,2_medium_strength,-15,0.01,yes,no,yes,2,Bad Pick,2 or 3
28,20230731_proxy_sample_1_yaw_-15_rep_0_stiff_low_force_low.json,1,1_low_stiffness,1_low_strength,-15,0.0,yes,yes,yes,3,Good Pick,2 or 3
29,20230731_proxy_sample_0_yaw_-15_rep_0_stiff_low_force_medium.json,0,1_low_stiffness,2_medium_strength,-15,0.0,yes,no,yes,2,Bad Pick,2 or 3
30,20230731_proxy_sample_5_yaw_-15_rep_0_stiff_low_force_medium.json,5,1_low_stiffness,2_medium_strength,-15,0.0,yes,yes,yes,3,Bad Pick,2 or 3
31,2023088_proxy_sample_4_yaw_45_offset_0.015_rep_0_stiff_medium_force_low.json,4,2_medium_stiffness,1_low_strength,45,0.015,no,yes,yes,2,Bad Pick,2 or 3
32,2023088_proxy_sample_2_yaw_-15_offset_0.01_rep_0_stiff_medium_force_low.json,2,2_medium_stiffness,1_low_strength,-15,0.01,no,no,yes,1,Bad Pick,0 or 1
33,20230720_proxy_sample_3_yaw_0_rep_0_stiff_high_force_medium.json,3,3_high_stiffness,2_medium_strength,0,0.0,no,yes,yes,2,Bad Pick,2 or 3
34,20230724_proxy_sample_5_yaw_0_rep_0_stiff_high_force_high.json,5,3_high_stiffness,3_high_strength,0,0.0,yes,yes,yes,3,Bad Pick,2 or 3
35,2023083_proxy_sample_5_yaw_45_rep_1_stiff_medium_force_low.json,5,2_medium_stiffness,1_low_strength,45,0.0,yes,yes,no,2,Bad Pick,2 or 3
36,2023083_proxy_sample_3_yaw_-15_rep_0_stiff_medium_force_medium.json,3,2_medium_stiffness,2_medium_strength,-15,0.0,no,no,yes,1,Bad Pick,0 or 1
37,2023083_proxy_sample_0_yaw_45_rep_1_stiff_low_force_medium.json,0,1_low_stiffness,2_medium_strength,45,0.0,yes,yes,no,2,Bad Pick,2 or 3
38,2023087_proxy_sample_2_yaw_45_offset_0.02_rep_0_stiff_low_force_medium.json,2,1_low_stiffness,2_medium_strength,45,0.02,no,no,yes,1,Bad Pick,0 or 1
39,20230724_proxy_sample_9_yaw_0_rep_0_stiff_high_force_high.json,9,3_high_stiffness,3_high_strength,0,0.0,yes,no,no,1,Bad Pick,0 or 1
40,20230731_proxy_sample_7_yaw_45_rep_0_stiff_low_force_low.json,7,1_low_stiffness,1_low_strength,45,0.0,yes,yes,yes,3,Good Pick,2 or 3
41,2023088_proxy_sample_8_yaw_-15_offset_0.01_rep_0_stiff_medium_force_low.json,8,2_medium_stiffness,1_low_strength,-15,0.01,no,no,yes,1,Good Pick,0 or 1
42,2023087_proxy_sample_8_yaw_45_offset_0.015_rep_0_stiff_low_force_medium.json,8,1_low_stiffness,2_medium_strength,45,0.015,no,yes,yes,2,Bad Pick,2 or 3
43,2023083_proxy_sample_0_yaw_45_rep_1_stiff_low_force_low.json,0,1_low_stiffness,1_low_strength,45,0.0,yes,yes,no,2,Good Pick,2 or 3
44,2023083_proxy_sample_3_yaw_-15_offset_0.015_rep_0_stiff_high_force_medium.json,3,3_high_stiffness,2_medium_strength,-15,0.015,yes,no,yes,2,Bad Pick,2 or 3
45,20230731_proxy_sample_6_yaw_45_rep_0_stiff_low_force_low.json,6,1_low_stiffness,1_low_strength,45,0.0,yes,yes,yes,3,Good Pick,2 or 3
46,2023087_proxy_sample_8_yaw_-15_offset_0.01_rep_0_stiff_low_force_low.json,8,1_low_stiffness,1_low_strength,-15,0.01,yes,yes,yes,3,Good Pick,2 or 3
47,2023087_proxy_sample_7_yaw_45_offset_0.02_rep_0_stiff_low_force_medium.json,7,1_low_stiffness,2_medium_strength,45,0.02,yes,yes,yes,3,Bad Pick,2 or 3
48,2023087_proxy_sample_4_yaw_-15_offset_0.005_rep_0_stiff_low_force_low.json,4,1_low_stiffness,1_low_strength,-15,0.005,no,yes,yes,2,Good Pick,2 or 3
49,2023083_proxy_sample_8_yaw_45_offset_0.015_rep_0_stiff_high_force_medium.json,8,3_high_stiffness,2_medium_strength,45,0.015,no,yes,yes,2,Bad Pick,2 or 3
50,2023083_proxy_sample_6_yaw_-15_rep_0_stiff_medium_force_medium.json,6,2_medium_stiffness,2_medium_strength,-15,0.0,no,yes,yes,2,Bad Pick,2 or 3
51,2023088_proxy_sample_6_yaw_-15_offset_0.005_rep_0_stiff_medium_force_medium.json,6,2_medium_stiffness,2_medium_strength,-15,0.005,yes,yes,yes,3,Bad Pick,2 or 3
52,2023082_proxy_sample_0_yaw_45_rep_0_stiff_high_force_high.json,0,3_high_stiffness,3_high_strength,45,0.0,yes,yes,yes,3,Bad Pick,2 or 3
53,2023087_proxy_sample_7_yaw_-15_offset_0.015_rep_0_stiff_low_force_medium.json,7,1_low_stiffness,2_medium_strength,-15,0.015,yes,yes,yes,3,Bad Pick,2 or 3
54,2023088_proxy_sample_1_yaw_45_offset_0.01_rep_0_stiff_medium_force_low.json,1,2_medium_stiffness,1_low_strength,45,0.01,no,yes,yes,2,Good Pick,2 or 3
55,2023087_proxy_sample_3_yaw_-15_offset_0.01_rep_0_stiff_low_force_medium.json,3,1_low_stiffness,2_medium_strength,-15,0.01,no,yes,yes,2,Bad Pick,2 or 3
56,2023088_proxy_sample_7_yaw_45_offset_0.015_rep_0_stiff_medium_force_medium.json,7,2_medium_stiffness,2_medium_strength,45,0.015,no,yes,yes,2,Bad Pick,2 or 3
57,2023083_proxy_sample_7_yaw_45_rep_1_stiff_medium_force_low.json,7,2_medium_stiffness,1_low_strength,45,0.0,yes,yes,yes,3,Bad Pick,2 or 3
58,2023088_proxy_sample_5_yaw_-15_offset_0.005_rep_0_stiff_medium_force_low.json,5,2_medium_stiffness,1_low_strength,-15,0.005,no,yes,yes,2,Bad Pick,2 or 3
59,2023087_proxy_sample_2_yaw_-15_offset_0.02_rep_0_stiff_medium_force_medium.json,2,2_medium_stiffness,2_medium_strength,-15,0.02,no,no,yes,1,Bad Pick,0 or 1
60,2023087_proxy_sample_2_yaw_45_offset_0.01_rep_0_stiff_low_force_medium.json,2,1_low_stiffness,2_medium_strength,45,0.01,yes,no,yes,2,Bad Pick,2 or 3
61,2023088_proxy_sample_4_yaw_-15_offset_0.01_rep_0_stiff_medium_force_medium.json,4,2_medium_stiffness,2_medium_strength,-15,0.01,no,no,yes,1,Bad Pick,0 or 1
62,2023083_proxy_sample_8_yaw_-15_offset_0.005_rep_0_stiff_high_force_medium.json,8,3_high_stiffness,2_medium_strength,-15,0.005,yes,yes,yes,3,Good Pick,2 or 3
63,2023083_proxy_sample_7_yaw_45_rep_1_stiff_high_force_low.json,7,3_high_stiffness,1_low_strength,45,0.0,yes,yes,yes,3,Good Pick,2 or 3
64,20230720_proxy_sample_8_yaw_0_rep_0_stiff_high_force_medium.json,8,3_high_stiffness,2_medium_strength,0,0.0,no,no,no,0,Bad Pick,0 or 1
65,2023088_proxy_sample_5_yaw_45_offset_0.015_rep_0_stiff_medium_force_medium.json,5,2_medium_stiffness,2_medium_strength,45,0.015,no,yes,yes,2,Bad Pick,2 or 3
66,2023088_proxy_sample_2_yaw_45_offset_0.015_rep_0_stiff_medium_force_low.json,2,2_medium_stiffness,1_low_strength,45,0.015,no,yes,yes,2,Good Pick,2 or 3
67,2023082_proxy_sample_6_yaw_45_rep_0_stiff_high_force_high.json,6,3_high_stiffness,3_high_strength,45,0.0,yes,yes,yes,3,Bad Pick,2 or 3
68,2023083_proxy_sample_3_yaw_45_offset_0.02_rep_0_stiff_high_force_medium.json,3,3_high_stiffness,2_medium_strength,45,0.02,no,yes,yes,2,Bad Pick,2 or 3
69,2023082_proxy_sample_5_yaw_45_rep_0_stiff_high_force_low.json,5,3_high_stiffness,1_low_strength,45,0.0,yes,yes,no,2,Good Pick,2 or 3
70,2023083_proxy_sample_4_yaw_45_rep_0_stiff_medium_force_low.json,4,2_medium_stiffness,1_low_strength,45,0.0,yes,yes,yes,3,Good Pick,2 or 3
71,2023083_proxy_sample_2_yaw_-15_rep_1_stiff_medium_force_low.json,2,2_medium_stiffness,1_low_strength,-15,0.0,yes,yes,yes,3,Good Pick,2 or 3
72,2023087_proxy_sample_0_yaw_45_offset_0.005_rep_0_stiff_low_force_low.json,0,1_low_stiffness,1_low_strength,45,0.005,yes,yes,yes,3,Good Pick,2 or 3
73,2023087_proxy_sample_5_yaw_-15_offset_0.015_rep_0_stiff_low_force_low.json,5,1_low_stiffness,1_low_strength,-15,0.015,no,no,yes,1,Bad Pick,0 or 1
74,20230728_proxy_sample_4_yaw_0_rep_0_stiff_medium_force_medium.json,4,2_medium_stiffness,2_medium_strength,0,0.0,yes,yes,yes,3,Bad Pick,2 or 3
75,2023083_proxy_sample_1_yaw_45_rep_1_stiff_low_force_low.json,1,1_low_stiffness,1_low_strength,45,0.0,yes,yes,yes,3,Good Pick,2 or 3
76,2023083_proxy_sample_1_yaw_45_rep_0_stiff_medium_force_high.json,1,2_medium_stiffness,3_high_strength,45,0.0,yes,yes,yes,3,Bad Pick,2 or 3
77,2023083_proxy_sample_2_yaw_-15_offset_0.015_rep_0_stiff_high_force_medium.json,2,3_high_stiffness,2_medium_strength,-15,0.015,yes,no,yes,2,Bad Pick,2 or 3
78,2023087_proxy_sample_4_yaw_-15_offset_0.015_rep_0_stiff_low_force_medium.json,4,1_low_stiffness,2_medium_strength,-15,0.015,yes,no,yes,2,Bad Pick,2 or 3
79,2023087_proxy_sample_4_yaw_45_offset_0.02_rep_0_stiff_high_force_low.json,4,3_high_stiffness,1_low_strength,45,0.02,no,yes,yes,2,Good Pick,2 or 3
80,2023087_proxy_sample_2_yaw_-15_offset_0.005_rep_0_stiff_high_force_low.json,2,3_high_stiffness,1_low_strength,-15,0.005,yes,no,yes,2,Good Pick,2 or 3
81,2023083_proxy_sample_1_yaw_45_offset_0.01_rep_0_stiff_high_force_medium.json,1,3_high_stiffness,2_medium_strength,45,0.01,yes,yes,yes,3,Bad Pick,2 or 3
82,2023083_proxy_sample_2_yaw_-15_rep_0_stiff_medium_force_medium.json,2,2_medium_stiffness,2_medium_strength,-15,0.0,no,yes,no,1,Bad Pick,0 or 1
83,2023088_proxy_sample_7_yaw_-15_offset_0.015_rep_0_stiff_medium_force_medium.json,7,2_medium_stiffness,2_medium_strength,-15,0.015,no,no,no,0,Bad Pick,0 or 1
84,2023083_proxy_sample_5_yaw_-15_offset_0.005_rep_0_stiff_high_force_medium.json,5,3_high_stiffness,2_medium_strength,-15,0.005,no,no,yes,1,Bad Pick,0 or 1
85,2023087_proxy_sample_5_yaw_45_offset_0.005_rep_0_stiff_low_force_medium.json,5,1_low_stiffness,2_medium_strength,45,0.005,yes,yes,yes,3,Bad Pick,2 or 3
86,2023088_proxy_sample_4_yaw_-15_offset_0.005_rep_0_stiff_medium_force_low.json,4,2_medium_stiffness,1_low_strength,-15,0.005,no,yes,yes,2,Good Pick,2 or 3
87,2023083_proxy_sample_7_yaw_45_offset_0.01_rep_0_stiff_high_force_medium.json,7,3_high_stiffness,2_medium_strength,45,0.01,no,yes,yes,2,Bad Pick,2 or 3
88,2023083_proxy_sample_1_yaw_45_rep_1_stiff_high_force_low.json,1,3_high_stiffness,1_low_strength,45,0.0,yes,yes,yes,3,Bad Pick,2 or 3
89,2023087_proxy_sample_6_yaw_45_offset_0.02_rep_0_stiff_low_force_medium.json,6,1_low_stiffness,2_medium_strength,45,0.02,no,yes,yes,2,Bad Pick,2 or 3
90,2023087_proxy_sample_2_yaw_45_offset_0.005_rep_0_stiff_low_force_low.json,2,1_low_stiffness,1_low_strength,45,0.005,yes,yes,yes,3,Good Pick,2 or 3
91,2023083_proxy_sample_0_yaw_-15_rep_1_stiff_high_force_medium.json,0,3_high_stiffness,2_medium_strength,-15,0.0,no,yes,yes,2,Bad Pick,2 or 3
92,20230728_proxy_sample_4_yaw_60_rep_0_stiff_medium_force_low.json,4,2_medium_stiffness,1_low_strength,60,0.0,yes,yes,yes,3,Good Pick,2 or 3
93,20230720_proxy_sample_1_yaw_0_rep_0_stiff_high_force_medium.json,1,3_high_stiffness,2_medium_strength,0,0.0,yes,yes,yes,3,Bad Pick,2 or 3
94,2023082_proxy_sample_4_yaw_-15_rep_0_stiff_high_force_low.json,4,3_high_stiffness,1_low_strength,-15,0.0,no,yes,no,1,Bad Pick,0 or 1
95,2023083_proxy_sample_8_yaw_-15_rep_0_stiff_medium_force_medium.json,8,2_medium_stiffness,2_medium_strength,-15,0.0,yes,yes,yes,3,Bad Pick,2 or 3
96,2023083_proxy_sample_9_yaw_-15_rep_0_stiff_medium_force_high.json,9,2_medium_stiffness,3_high_strength,-15,0.0,yes,yes,yes,3,Bad Pick,2 or 3
97,2023088_proxy_sample_2_yaw_-15_offset_0.015_rep_0_stiff_medium_force_medium.json,2,2_medium_stiffness,2_medium_strength,-15,0.015,no,no,yes,1,Bad Pick,0 or 1
98,2023083_proxy_sample_4_yaw_45_rep_1_stiff_medium_force_medium.json,4,2_medium_stiffness,2_medium_strength,45,0.0,yes,yes,no,2,Bad Pick,2 or 3
99,2023087_proxy_sample_3_yaw_45_offset_0.005_rep_0_stiff_low_force_low.json,3,1_low_stiffness,1_low_strength,45,0.005,yes,yes,yes,3,Good Pick,2 or 3
100,2023087_proxy_sample_0_yaw_45_offset_0.02_rep_0_stiff_low_force_medium.json,0,1_low_stiffness,2_medium_strength,45,0.02,no,yes,yes,2,Bad Pick,2 or 3
101,20230724_proxy_sample_8_yaw_60_rep_0_stiff_high_force_low.json,8,3_high_stiffness,1_low_strength,60,0.0,no,yes,no,1,Bad Pick,0 or 1
102,2023087_proxy_sample_3_yaw_-15_offset_0.015_rep_0_stiff_low_force_medium.json,3,1_low_stiffness,2_medium_strength,-15,0.015,no,no,yes,1,Bad Pick,0 or 1
103,2023087_proxy_sample_3_yaw_45_offset_0.02_rep_0_stiff_low_force_low.json,3,1_low_stiffness,1_low_strength,45,0.02,no,no,yes,1,Bad Pick,0 or 1
104,2023087_proxy_sample_4_yaw_45_offset_0.02_rep_0_stiff_low_force_low.json,4,1_low_stiffness,1_low_strength,45,0.02,no,yes,yes,2,Good Pick,2 or 3
105,20230728_proxy_sample_2_yaw_60_rep_0_stiff_medium_force_medium.json,2,2_medium_stiffness,2_medium_strength,60,0.0,yes,yes,no,2,Bad Pick,2 or 3
106,2023087_proxy_sample_3_yaw_-15_offset_0.005_rep_0_stiff_low_force_low.json,3,1_low_stiffness,1_low_strength,-15,0.005,yes,yes,yes,3,Good Pick,2 or 3
107,2023083_proxy_sample_2_yaw_-15_offset_0.02_rep_0_stiff_high_force_medium.json,2,3_high_stiffness,2_medium_strength,-15,0.02,no,no,yes,1,Bad Pick,0 or 1
108,20230728_proxy_sample_6_yaw_60_rep_0_stiff_medium_force_medium.json,6,2_medium_stiffness,2_medium_strength,60,0.0,yes,yes,yes,3,Good Pick,2 or 3
109,2023083_proxy_sample_0_yaw_45_rep_1_stiff_high_force_low.json,0,3_high_stiffness,1_low_strength,45,0.0,yes,yes,yes,3,Good Pick,2 or 3
110,20230731_proxy_sample_6_yaw_45_rep_0_stiff_low_force_high.json,6,1_low_stiffness,3_high_strength,45,0.0,yes,yes,yes,3,Bad Pick,2 or 3
111,20230731_proxy_sample_4_yaw_45_rep_0_stiff_low_force_medium.json,4,1_low_stiffness,2_medium_strength,45,0.0,yes,yes,yes,3,Bad Pick,2 or 3
112,2023087_proxy_sample_6_yaw_45_offset_0.01_rep_0_stiff_low_force_low.json,6,1_low_stiffness,1_low_strength,45,0.01,yes,yes,yes,3,Good Pick,2 or 3
113,2023083_proxy_sample_1_yaw_-15_offset_0.01_rep_0_stiff_high_force_medium.json,1,3_high_stiffness,2_medium_strength,-15,0.01,yes,no,yes,2,Bad Pick,2 or 3
114,2023087_proxy_sample_1_yaw_45_offset_0.005_rep_0_stiff_medium_force_medium.json,1,2_medium_stiffness,2_medium_strength,45,0.005,yes,yes,no,2,Bad Pick,2 or 3
115,2023087_proxy_sample_6_yaw_-15_offset_0.005_rep_0_stiff_high_force_low.json,6,3_high_stiffness,1_low_strength,-15,0.005,yes,yes,yes,3,Good Pick,2 or 3
116,2023083_proxy_sample_5_yaw_-15_rep_0_stiff_medium_force_low.json,5,2_medium_stiffness,1_low_strength,-15,0.0,no,yes,yes,2,Bad Pick,2 or 3
117,2023087_proxy_sample_5_yaw_45_offset_0.02_rep_0_stiff_low_force_low.json,5,1_low_stiffness,1_low_strength,45,0.02,no,yes,yes,2,Good Pick,2 or 3
118,2023087_proxy_sample_9_yaw_-15_offset_0.005_rep_0_stiff_high_force_low.json,9,3_high_stiffness,1_low_strength,-15,0.005,yes,no,yes,2,Good Pick,2 or 3
119,2023083_proxy_sample_6_yaw_45_rep_1_stiff_medium_force_low.json,6,2_medium_stiffness,1_low_strength,45,0.0,yes,yes,yes,3,Good Pick,2 or 3
120,2023087_proxy_sample_5_yaw_-15_offset_0.01_rep_0_stiff_high_force_low.json,5,3_high_stiffness,1_low_strength,-15,0.01,no,yes,yes,2,Bad Pick,2 or 3
121,2023083_proxy_sample_2_yaw_45_rep_0_stiff_medium_force_medium.json,2,2_medium_stiffness,2_medium_strength,45,0.0,yes,yes,no,2,Bad Pick,2 or 3
122,2023082_proxy_sample_7_yaw_-15_rep_0_stiff_high_force_high.json,7,3_high_stiffness,3_high_strength,-15,0.0,yes,yes,yes,3,Good Pick,2 or 3
123,2023087_proxy_sample_8_yaw_-15_offset_0.015_rep_0_stiff_high_force_low.json,8,3_high_stiffness,1_low_strength,-15,0.015,yes,yes,yes,3,Good Pick,2 or 3
124,2023087_proxy_sample_6_yaw_45_offset_0.01_rep_0_stiff_low_force_medium.json,6,1_low_stiffness,2_medium_strength,45,0.01,yes,yes,yes,3,Bad Pick,2 or 3
125,2023088_proxy_sample_6_yaw_-15_offset_0.015_rep_0_stiff_medium_force_medium.json,6,2_medium_stiffness,2_medium_strength,-15,0.015,no,no,no,0,Bad Pick,0 or 1
126,2023087_proxy_sample_8_yaw_-15_offset_0.01_rep_0_stiff_high_force_low.json,8,3_high_stiffness,1_low_strength,-15,0.01,yes,yes,yes,3,Good Pick,2 or 3
127,2023087_proxy_sample_7_yaw_-15_offset_0.015_rep_0_stiff_low_force_low.json,7,1_low_stiffness,1_low_strength,-15,0.015,yes,yes,yes,3,Good Pick,2 or 3
128,2023083_proxy_sample_6_yaw_45_offset_0.02_rep_0_stiff_high_force_medium.json,6,3_high_stiffness,2_medium_strength,45,0.02,no,yes,yes,2,Bad Pick,2 or 3
129,2023087_proxy_sample_7_yaw_45_offset_0.015_rep_0_stiff_low_force_low.json,7,1_low_stiffness,1_low_strength,45,0.015,yes,yes,yes,3,Good Pick,2 or 3
130,20230720_proxy_sample_4_yaw_0_rep_0_stiff_high_force_medium.json,4,3_high_stiffness,2_medium_strength,0,0.0,yes,yes,yes,3,Bad Pick,2 or 3
131,2023088_proxy_sample_8_yaw_-15_offset_0.02_rep_0_stiff_medium_force_medium.json,8,2_medium_stiffness,2_medium_strength,-15,0.02,no,no,no,0,Bad Pick,0 or 1
132,2023083_proxy_sample_8_yaw_45_rep_0_stiff_medium_force_high.json,8,2_medium_stiffness,3_high_strength,45,0.0,no,yes,yes,2,Bad Pick,2 or 3
133,2023083_proxy_sample_4_yaw_45_rep_1_stiff_high_force_medium.json,4,3_high_stiffness,2_medium_strength,45,0.0,no,yes,no,1,Bad Pick,0 or 1
134,2023088_proxy_sample_3_yaw_-15_offset_0.01_rep_0_stiff_medium_force_low.json,3,2_medium_stiffness,1_low_strength,-15,0.01,no,yes,yes,2,Bad Pick,2 or 3
135,2023087_proxy_sample_2_yaw_-15_offset_0.005_rep_0_stiff_medium_force_medium.json,2,2_medium_stiffness,2_medium_strength,-15,0.005,no,yes,no,1,Bad Pick,0 or 1
136,2023083_proxy_sample_8_yaw_-15_rep_0_stiff_medium_force_low.json,8,2_medium_stiffness,1_low_strength,-15,0.0,no,yes,yes,2,Good Pick,2 or 3
137,2023088_proxy_sample_4_yaw_45_offset_0.01_rep_0_stiff_medium_force_medium.json,4,2_medium_stiffness,2_medium_strength,45,0.01,no,yes,yes,2,Bad Pick,2 or 3
138,2023087_proxy_sample_8_yaw_-15_offset_0.005_rep_0_stiff_low_force_medium.json,8,1_low_stiffness,2_medium_strength,-15,0.005,no,yes,yes,2,Bad Pick,2 or 3
139,2023087_proxy_sample_3_yaw_45_offset_0.01_rep_0_stiff_high_force_low.json,3,3_high_stiffness,1_low_strength,45,0.01,no,yes,yes,2,Good Pick,2 or 3
140,2023088_proxy_sample_1_yaw_45_offset_0.02_rep_0_stiff_medium_force_low.json,1,2_medium_stiffness,1_low_strength,45,0.02,no,yes,yes,2,Good Pick,2 or 3
141,2023087_proxy_sample_8_yaw_45_offset_0.01_rep_0_stiff_high_force_low.json,8,3_high_stiffness,1_low_strength,45,0.01,yes,yes,yes,3,Good Pick,2 or 3
142,2023087_proxy_sample_1_yaw_-15_offset_0.01_rep_0_stiff_high_force_low.json,1,3_high_stiffness,1_low_strength,-15,0.01,yes,no,yes,2,Good Pick,2 or 3
143,2023083_proxy_sample_6_yaw_45_offset_0.015_rep_0_stiff_high_force_medium.json,6,3_high_stiffness,2_medium_strength,45,0.015,no,yes,yes,2,Bad Pick,2 or 3
144,2023082_proxy_sample_1_yaw_45_rep_0_stiff_high_force_high.json,1,3_high_stiffness,3_high_strength,45,0.0,yes,yes,yes,3,Bad Pick,2 or 3
145,20230724_proxy_sample_7_yaw_60_rep_0_stiff_high_force_high.json,7,3_high_stiffness,3_high_strength,60,0.0,yes,yes,yes,3,Bad Pick,2 or 3
146,2023087_proxy_sample_2_yaw_45_offset_0.015_rep_0_stiff_low_force_medium.json,2,1_low_stiffness,2_medium_strength,45,0.015,no,no,yes,1,Bad Pick,0 or 1
147,2023087_proxy_sample_4_yaw_-15_offset_0.01_rep_0_stiff_low_force_low.json,4,1_low_stiffness,1_low_strength,-15,0.01,no,yes,yes,2,Good Pick,2 or 3
148,20230731_proxy_sample_8_yaw_45_rep_0_stiff_low_force_medium.json,8,1_low_stiffness,2_medium_strength,45,0.0,yes,yes,yes,3,Good Pick,2 or 3
149,2023087_proxy_sample_8_yaw_-15_offset_0.02_rep_0_stiff_high_force_low.json,8,3_high_stiffness,1_low_strength,-15,0.02,no,no,yes,1,Good Pick,0 or 1
150,2023087_proxy_sample_0_yaw_-15_offset_0.01_rep_0_stiff_low_force_medium.json,0,1_low_stiffness,2_medium_strength,-15,0.01,yes,yes,yes,3,Bad Pick,2 or 3
151,2023087_proxy_sample_5_yaw_45_offset_0.015_rep_0_stiff_high_force_low.json,5,3_high_stiffness,1_low_strength,45,0.015,no,yes,yes,2,Good Pick,2 or 3
